Task 1- Release:  0.100, Completion:  0.196, Response: 0.096, WCRT: 0.096, Next Release:  0.400
Task 4- Release: 15.700, Completion: 16.775, Response: 1.075, WCRT: 1.088, Next Release: 16.900

Task 1- Release: 16.900, Completion: 16.997, Response: 0.097, WCRT: 0.112, Next Release: 17.200
Task 2- Release: 16.900, Completion: 17.095, Response: 0.195, WCRT: 0.195, Next Release: 17.300
Task 3- Release: 16.900, Completion: 17.193, Response: 0.293, WCRT: 0.293, Next Release: 17.500
Task 1- Release: 17.200, Completion: 17.298, Response: 0.098, WCRT: 0.112, Next Release: 17.500
Task 2- Release: 17.300, Completion: 17.398, Response: 0.098, WCRT: 0.195, Next Release: 17.700
Task 1- Release: 17.500, Completion: 17.596, Response: 0.096, WCRT: 0.112, Next Release: 17.800
Task 3- Release: 17.500, Completion: 17.693, Response: 0.193, WCRT: 0.293, Next Release: 18.100
Task 2- Release: 17.700, Completion: 17.798, Response: 0.098, WCRT: 0.195, Next Release: 18.100
Task 1- Release: 17.800, Completion: 17.898, Response: 0.098, WCRT: 0.112, Next Release: 18.100
Task 4- Release: 16.900, Completion: 17.974, Response: 1.074, WCRT: 1.088, Next Release: 18.100

Task 1- Release: 18.100, Completion: 18.197, Response: 0.097, WCRT: 0.112, Next Release: 18.400
Task 2- Release: 18.100, Completion: 18.295, Response: 0.195, WCRT: 0.195, Next Release: 18.500
Task 3- Release: 18.100, Completion: 18.393, Response: 0.293, WCRT: 0.293, Next Release: 18.700
Task 1- Release: 18.400, Completion: 18.498, Response: 0.098, WCRT: 0.112, Next Release: 18.700
Task 2- Release: 18.500, Completion: 18.598, Response: 0.098, WCRT: 0.195, Next Release: 18.900
Task 1- Release: 18.700, Completion: 18.796, Response: 0.096, WCRT: 0.112, Next Release: 19.000
Task 3- Release: 18.700, Completion: 18.894, Response: 0.194, WCRT: 0.293, Next Release: 19.300
Task 2- Release: 18.900, Completion: 18.998, Response: 0.098, WCRT: 0.195, Next Release: 19.300
Task 1- Release: 19.000, Completion: 19.112, Response: 0.112, WCRT: 0.112, Next Release: 19.300
Task 4- Release: 18.100, Completion: 19.188, Response: 1.088, WCRT: 1.088, Next Release: 19.300
