Task 1- Release:  0.100, Completion:  0.197, Response: 0.097, WCRT: 0.097, Next Release:  0.400
Task 1- Release: 10.600, Completion: 10.697, Response: 0.097, WCRT: 0.099, Next Release: 10.900

Task 1- Release: 10.900, Completion: 10.996, Response: 0.096, WCRT: 0.099, Next Release: 11.200
Task 2- Release: 10.900, Completion: 11.093, Response: 0.193, WCRT: 0.194, Next Release: 11.300
Task 3- Release: 10.900, Completion: 11.190, Response: 0.290, WCRT: 0.291, Next Release: 11.500
Task 1- Release: 11.200, Completion: 11.299, Response: 0.099, WCRT: 0.099, Next Release: 11.500
Task 2- Release: 11.300, Completion: 11.400, Response: 0.100, WCRT: 0.194, Next Release: 11.700
Task 1- Release: 11.500, Completion: 11.596, Response: 0.096, WCRT: 0.099, Next Release: 11.800
Task 3- Release: 11.500, Completion: 11.693, Response: 0.193, WCRT: 0.291, Next Release: 12.100
Task 2- Release: 11.700, Completion: 11.799, Response: 0.099, WCRT: 0.194, Next Release: 12.100
Task 1- Release: 11.800, Completion: 11.898, Response: 0.098, WCRT: 0.099, Next Release: 12.100

Task 1- Release: 12.100, Completion: 12.196, Response: 0.096, WCRT: 0.099, Next Release: 12.400
Task 2- Release: 12.100, Completion: 12.293, Response: 0.193, WCRT: 0.194, Next Release: 12.500
Task 3- Release: 12.100, Completion: 12.389, Response: 0.289, WCRT: 0.291, Next Release: 12.700
Task 1- Release: 12.400, Completion: 12.497, Response: 0.097, WCRT: 0.099, Next Release: 12.700
Task 2- Release: 12.500, Completion: 12.597, Response: 0.097, WCRT: 0.194, Next Release: 12.900
Task 1- Release: 12.700, Completion: 12.796, Response: 0.096, WCRT: 0.099, Next Release: 13.000
Task 3- Release: 12.700, Completion: 12.891, Response: 0.191, WCRT: 0.291, Next Release: 13.300
Task 2- Release: 12.900, Completion: 12.997, Response: 0.097, WCRT: 0.194, Next Release: 13.300
Task 1- Release: 13.000, Completion: 13.097, Response: 0.097, WCRT: 0.099, Next Release: 13.300

Task 1- Release: 13.300, Completion: 13.396, Response: 0.096, WCRT: 0.099, Next Release: 13.600
Task 2- Release: 13.300, Completion: 13.491, Response: 0.191, WCRT: 0.194, Next Release: 13.700
Task 3- Release: 13.300, Completion: 13.586, Response: 0.286, WCRT: 0.291, Next Release: 13.900
Task 1- Release: 13.600, Completion: 13.697, Response: 0.097, WCRT: 0.099, Next Release: 13.900
Task 2- Release: 13.700, Completion: 13.797, Response: 0.097, WCRT: 0.194, Next Release: 14.100
Task 1- Release: 13.900, Completion: 13.996, Response: 0.096, WCRT: 0.099, Next Release: 14.200
Task 3- Release: 13.900, Completion: 14.091, Response: 0.191, WCRT: 0.291, Next Release: 14.500
Task 2- Release: 14.100, Completion: 14.197, Response: 0.097, WCRT: 0.194, Next Release: 14.500
Task 1- Release: 14.200, Completion: 14.297, Response: 0.097, WCRT: 0.099, Next Release: 14.500

Task 1- Release: 14.500, Completion: 14.596, Response: 0.096, WCRT: 0.099, Next Release: 14.800
Task 2- Release: 14.500, Completion: 14.691, Response: 0.191, WCRT: 0.194, Next Release: 14.900
Task 3- Release: 14.500, Completion: 14.786, Response: 0.286, WCRT: 0.291, Next Release: 15.100
Task 1- Release: 14.800, Completion: 14.897, Response: 0.097, WCRT: 0.099, Next Release: 15.100
Task 2- Release: 14.900, Completion: 14.997, Response: 0.097, WCRT: 0.194, Next Release: 15.300
Task 1- Release: 15.100, Completion: 15.196, Response: 0.096, WCRT: 0.099, Next Release: 15.400
Task 3- Release: 15.100, Completion: 15.291, Response: 0.191, WCRT: 0.291, Next Release: 15.700
Task 2- Release: 15.300, Completion: 15.397, Response: 0.097, WCRT: 0.194, Next Release: 15.700
Task 1- Release: 15.400, Completion: 15.497, Response: 0.097, WCRT: 0.099, Next Release: 15.700

Task 1- Release: 15.700, Completion: 15.796, Response: 0.096, WCRT: 0.099, Next Release: 16.000
Task 2- Release: 15.700, Completion: 15.891, Response: 0.191, WCRT: 0.194, Next Release: 16.100
Task 3- Release: 15.700, Completion: 15.986, Response: 0.286, WCRT: 0.291, Next Release: 16.300
Task 1- Release: 16.000, Completion: 16.097, Response: 0.097, WCRT: 0.099, Next Release: 16.300
Task 2- Release: 16.100, Completion: 16.197, Response: 0.097, WCRT: 0.194, Next Release: 16.500
Task 1- Release: 16.300, Completion: 16.397, Response: 0.097, WCRT: 0.099, Next Release: 16.600
Task 3- Release: 16.300, Completion: 16.492, Response: 0.192, WCRT: 0.291, Next Release: 16.900
Task 2- Release: 16.500, Completion: 16.597, Response: 0.097, WCRT: 0.194, Next Release: 16.900
Task 1- Release: 16.600, Completion: 16.697, Response: 0.097, WCRT: 0.099, Next Release: 16.900

Task 1- Release: 16.900, Completion: 16.996, Response: 0.096, WCRT: 0.099, Next Release: 17.200
Task 2- Release: 16.900, Completion: 17.091, Response: 0.191, WCRT: 0.194, Next Release: 17.300
Task 3- Release: 16.900, Completion: 17.186, Response: 0.286, WCRT: 0.291, Next Release: 17.500
Task 1- Release: 17.200, Completion: 17.297, Response: 0.097, WCRT: 0.099, Next Release: 17.500
Task 2- Release: 17.300, Completion: 17.397, Response: 0.097, WCRT: 0.194, Next Release: 17.700
Task 1- Release: 17.500, Completion: 17.596, Response: 0.096, WCRT: 0.099, Next Release: 17.800
Task 3- Release: 17.500, Completion: 17.691, Response: 0.191, WCRT: 0.291, Next Release: 18.100
Task 2- Release: 17.700, Completion: 17.796, Response: 0.096, WCRT: 0.194, Next Release: 18.100
Task 1- Release: 17.800, Completion: 17.897, Response: 0.097, WCRT: 0.099, Next Release: 18.100

Task 1- Release: 18.100, Completion: 18.196, Response: 0.096, WCRT: 0.099, Next Release: 18.400
Task 2- Release: 18.100, Completion: 18.293, Response: 0.193, WCRT: 0.194, Next Release: 18.500
Task 3- Release: 18.100, Completion: 18.390, Response: 0.290, WCRT: 0.291, Next Release: 18.700
Task 1- Release: 18.400, Completion: 18.499, Response: 0.099, WCRT: 0.099, Next Release: 18.700
Task 2- Release: 18.500, Completion: 18.600, Response: 0.100, WCRT: 0.194, Next Release: 18.900
Task 1- Release: 18.700, Completion: 18.796, Response: 0.096, WCRT: 0.099, Next Release: 19.000
Task 3- Release: 18.700, Completion: 18.893, Response: 0.193, WCRT: 0.291, Next Release: 19.300
Task 2- Release: 18.900, Completion: 18.999, Response: 0.099, WCRT: 0.194, Next Release: 19.300
Task 1- Release: 19.000, Completion: 19.097, Response: 0.097, WCRT: 0.099, Next Release: 19.300
