Task 1- Release:  0.100, Completion:  0.202, Response: 0.102, WCRT: 0.102, Next Release:  0.400
Task 2- Release:  3.300, Completion:  3.505, Response: 0.205, WCRT: 0.227, Next Release:  3.700
Task 3- Release:  3.100, Completion:  3.516, Response: 0.416, WCRT: 0.516, Next Release:  3.700
Task 4- Release:  2.500, Completion:  3.647, Response: 1.147, WCRT: 1.171, Next Release:  3.700
Task 5- Release:  2.500, Completion:  3.648, Response: 1.148, WCRT: 1.172, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.804, Response: 0.104, WCRT: 0.108, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.906, Response: 0.206, WCRT: 0.227, Next Release:  4.100
Task 1- Release:  4.000, Completion:  4.103, Response: 0.103, WCRT: 0.108, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.206, Response: 0.106, WCRT: 0.227, Next Release:  4.500
Task 3- Release:  3.700, Completion:  4.215, Response: 0.515, WCRT: 0.516, Next Release:  4.300
Task 1- Release:  4.300, Completion:  4.403, Response: 0.103, WCRT: 0.108, Next Release:  4.600
Task 1- Release:  4.600, Completion:  4.704, Response: 0.104, WCRT: 0.108, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.706, Response: 0.206, WCRT: 0.227, Next Release:  4.900
Task 3- Release:  4.300, Completion:  4.712, Response: 0.412, WCRT: 0.516, Next Release:  4.900
Task 4- Release:  3.700, Completion:  4.832, Response: 1.132, WCRT: 1.171, Next Release:  4.900
Task 5- Release:  3.700, Completion:  4.833, Response: 1.133, WCRT: 1.172, Next Release:  4.900
Task 1- Release:  4.900, Completion:  5.004, Response: 0.104, WCRT: 0.108, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.107, Response: 0.207, WCRT: 0.227, Next Release:  5.300
Task 1- Release:  5.200, Completion:  5.303, Response: 0.103, WCRT: 0.108, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.405, Response: 0.105, WCRT: 0.227, Next Release:  5.700
Task 3- Release:  4.900, Completion:  5.415, Response: 0.515, WCRT: 0.516, Next Release:  5.500
Task 1- Release:  5.500, Completion:  5.603, Response: 0.103, WCRT: 0.108, Next Release:  5.800
Task 1- Release:  5.800, Completion:  5.904, Response: 0.104, WCRT: 0.108, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.906, Response: 0.206, WCRT: 0.227, Next Release:  6.100
Task 3- Release:  5.500, Completion:  5.912, Response: 0.412, WCRT: 0.516, Next Release:  6.100
Task 4- Release:  4.900, Completion:  6.033, Response: 1.133, WCRT: 1.171, Next Release:  6.100
Task 5- Release:  4.900, Completion:  6.034, Response: 1.134, WCRT: 1.172, Next Release:  6.100
Task 1- Release:  6.100, Completion:  6.204, Response: 0.104, WCRT: 0.108, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.306, Response: 0.206, WCRT: 0.227, Next Release:  6.500
Task 1- Release:  6.400, Completion:  6.503, Response: 0.103, WCRT: 0.108, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.606, Response: 0.106, WCRT: 0.227, Next Release:  6.900
Task 3- Release:  6.100, Completion:  6.616, Response: 0.516, WCRT: 0.516, Next Release:  6.700
Task 1- Release:  6.700, Completion:  6.803, Response: 0.103, WCRT: 0.108, Next Release:  7.000
Task 1- Release:  7.000, Completion:  7.103, Response: 0.103, WCRT: 0.108, Next Release:  7.300
Task 2- Release:  6.900, Completion:  7.106, Response: 0.206, WCRT: 0.227, Next Release:  7.300
Task 3- Release:  6.700, Completion:  7.112, Response: 0.412, WCRT: 0.516, Next Release:  7.300
Task 4- Release:  6.100, Completion:  7.282, Response: 1.182, WCRT: 1.182, Next Release:  7.300
Task 5- Release:  6.100, Completion:  7.283, Response: 1.183, WCRT: 1.183, Next Release:  7.300
Task 1- Release:  7.300, Completion:  7.404, Response: 0.104, WCRT: 0.108, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.507, Response: 0.207, WCRT: 0.227, Next Release:  7.700
Task 1- Release:  7.600, Completion:  7.704, Response: 0.104, WCRT: 0.108, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.806, Response: 0.106, WCRT: 0.227, Next Release:  8.100
Task 3- Release:  7.300, Completion:  7.816, Response: 0.516, WCRT: 0.516, Next Release:  7.900
Task 1- Release:  7.900, Completion:  8.003, Response: 0.103, WCRT: 0.108, Next Release:  8.200
Task 1- Release:  8.200, Completion:  8.303, Response: 0.103, WCRT: 0.108, Next Release:  8.500
Task 2- Release:  8.100, Completion:  8.339, Response: 0.239, WCRT: 0.239, Next Release:  8.500
Task 3- Release:  7.900, Completion:  8.345, Response: 0.445, WCRT: 0.516, Next Release:  8.500
Task 4- Release:  7.300, Completion:  8.467, Response: 1.167, WCRT: 1.182, Next Release:  8.500
Task 5- Release:  7.300, Completion:  8.468, Response: 1.168, WCRT: 1.183, Next Release:  8.500
Task 1- Release:  8.500, Completion:  8.604, Response: 0.104, WCRT: 0.108, Next Release:  8.800
Task 2- Release:  8.500, Completion:  8.707, Response: 0.207, WCRT: 0.239, Next Release:  8.900
Task 1- Release:  8.800, Completion:  8.903, Response: 0.103, WCRT: 0.108, Next Release:  9.100
Task 2- Release:  8.900, Completion:  9.007, Response: 0.107, WCRT: 0.239, Next Release:  9.300
Task 3- Release:  8.500, Completion:  9.017, Response: 0.517, WCRT: 0.517, Next Release:  9.100
Task 1- Release:  9.100, Completion:  9.221, Response: 0.121, WCRT: 0.121, Next Release:  9.400
Task 1- Release:  9.400, Completion:  9.504, Response: 0.104, WCRT: 0.121, Next Release:  9.700
Task 2- Release:  9.300, Completion:  9.508, Response: 0.208, WCRT: 0.239, Next Release:  9.700
Task 3- Release:  9.100, Completion:  9.532, Response: 0.432, WCRT: 0.517, Next Release:  9.700
Task 4- Release:  8.500, Completion:  9.657, Response: 1.157, WCRT: 1.182, Next Release:  9.700
Task 5- Release:  8.500, Completion:  9.658, Response: 1.158, WCRT: 1.183, Next Release:  9.700
Task 1- Release:  9.700, Completion:  9.805, Response: 0.105, WCRT: 0.121, Next Release: 10.000
Task 2- Release:  9.700, Completion:  9.909, Response: 0.209, WCRT: 0.239, Next Release: 10.100
